referent_uuid,name_first,name_last,tribes,sex,age,age_category,origins,occupations,races,enslavement_status,relationships
02ece4b3032e4fd9b7978c242920ab3a,1,1,0,1,0,0,0,1,1,1,0,"age: NULL, tribes: NULL, age_category: NULL, origins: NULL, relationships: NULL"
02f967c94fde46f0ad56b8e59d7d4212,0,0,0,0,0,0,0,0,1,-1,1,enslavement_status: Cannot be inferred from the text
02feb34e922147188e525074cc3df275,1,1,0,1,1,1,1,0,1,1,1,
031835ad95a7455db58a2f957b5480fa,-1,1,0,1,-1,-1,1,-1,-1,-1,1,"name_first: Incorrect, the first name is not mentioned in the text. age: Incorrect, the age 'about 27 Years of Age' is mentioned in the text. age_category: Incorrect, 'Adult' can be inferred from 'about 27 Years of Age'. occupations: Incorrect, there is no mention of 'Military and Militia' in the text. races: Incorrect, the text mentions 'Spanish Indian' and 'more than common white', not 'white'. enslavement_status: Incorrect, the text mentions 'Servant', not 'free person ▸ enslaver or owner'"
0334cd62b6e24e12af6f0be4c5f821e5,1,1,0,1,0,0,0,1,1,1,1,
03352c9e15cb4385acf8317c73ba19c6,1,0,0,-1,0,0,0,1,-1,1,1,"sex: Cannot be determined from the text, races: Cannot be determined from the text"
033616c3f6de4af0bc80a12002dc5ece,1,0,1,1,0,0,0,0,1,1,-1,"relationships: Incorrect, there is no mention of 'John Wicks' in the text."
03417c39cbd044bcaa6f126d0f057915,1,1,0,1,0,0,0,0,0,1,1,
035124efa4414c90a5b4973b192cc3e7,0,0,0,1,1,1,0,0,-1,1,1,"races: Cannot be confirmed, the text does not specify the race of the girls"
03634367a65740d3a7284fe16ea68445,1,1,0,1,0,0,0,0,0,1,1,
036ed330bf904387b3e3b77fe6881a74,1,0,0,1,0,0,0,0,1,1,-1,"relationships: Incorrect, there is no mention of 'Caleb Ray' capturing 'Sheepcott John' in the text."
0370c301e3254e3295828f08265b29e8,1,1,0,1,0,0,0,0,1,1,1,"races: Correct, although there is no explicit evidence that the person is white, whiteness is presumed from the historical context"
037617ddff024a398f5e66bbcff7a1cc,1,0,-1,1,0,0,0,-1,1,1,1,"{'tribes': ""Incorrect, the text mentions 'Warao tribe'"", 'occupations': ""Incorrect, the text mentions 'head driver on Plantation Laurencia'""}"
037a55e05e6e4ba38f9fa20ccc771305,1,1,0,1,1,0,0,1,1,1,1,"age: Correct, no age is mentioned for Nathaniel Carpenter. age_category: NULL, no age is mentioned for Nathaniel Carpenter."
037a56a5468245f99fdeffe3c1bb30d6,1,1,1,1,0,1,0,-1,1,1,-1,"{'occupations': ""Incorrect, the occupation should be 'shoemaker'"", 'relationships': ""Incorrect, the relationship should be 'owner of Charlton'""}"
039007d760d040919d097cb9c4c1a2f7,1,1,0,1,0,0,0,0,1,1,1,
0394566ebbe14fd887bbe986a51ceab3,0,0,0,1,0,0,0,0,1,1,1,
03963150a9464860b995942defdb4254,1,0,0,1,0,0,-1,0,1,1,1,"origins: Incorrect, 'Medfield' is mentioned as a location but not as an origin"
039ab950c0f842b9a54974981869f164,1,1,1,1,1,0,1,0,1,1,1,
